1	New York[d]	New York	8,336,817	8,175,133	+1.98%	301.5 sq mi	780.9 km2	28,317/sq mi	10,933/km2	40.6635°N 73.9387°W
2	Los Angeles	California	3,979,576	3,792,621	+4.93%	468.7 sq mi	1,213.9 km2	8,484/sq mi	3,276/km2	34.0194°N 118.4108°W
3	Chicago	Illinois	2,693,976	2,695,598	−0.06%	227.3 sq mi	588.7 km2	11,900/sq mi	4,600/km2	41.8376°N 87.6818°W
4	Houston[3]	Texas	2,320,268	2,100,263	+10.48%	637.5 sq mi	1,651.1 km2	3,613/sq mi	1,395/km2	29.7866°N 95.3909°W
5	Phoenix	Arizona	1,680,992	1,445,632	+16.28%	517.6 sq mi	1,340.6 km2	3,120/sq mi	1,200/km2	33.5722°N 112.0901°W
6	Philadelphia[e]	Pennsylvania	1,584,064	1,526,006	+3.80%	134.2 sq mi	347.6 km2	11,683/sq mi	4,511/km2	40.0094°N 75.1333°W
7	San Antonio	Texas	1,547,253	1,327,407	+16.56%	461.0 sq mi	1,194.0 km2	3,238/sq mi	1,250/km2	29.4724°N 98.5251°W
8	San Diego	California	1,423,851	1,307,402	+8.91%	325.2 sq mi	842.3 km2	4,325/sq mi	1,670/km2	32.8153°N 117.1350°W
9	Dallas	Texas	1,343,573	1,197,816	+12.17%	340.9 sq mi	882.9 km2	3,866/sq mi	1,493/km2	32.7933°N 96.7665°W
10	San Jose	California	1,021,795	945,942	+8.02%	177.5 sq mi	459.7 km2	5,777/sq mi	2,231/km2	37.2967°N 121.8189°W
11	Austin	Texas	978,908	790,390	+23.85%	312.7 sq mi	809.9 km2	3,031/sq mi	1,170/km2	30.3039°N 97.7544°W
12	Jacksonville[f]	Florida	911,507	821,784	+10.92%	747.4 sq mi	1,935.8 km2	1,178/sq mi	455/km2	30.3369°N 81.6616°W
13	Fort Worth	Texas	909,585	741,206	+22.72%	342.9 sq mi	888.1 km2	2,491/sq mi	962/km2	32.7815°N 97.3467°W
14	Columbus	Ohio	898,553	787,033	+14.17%	218.5 sq mi	565.9 km2	3,936/sq mi	1,520/km2	39.9852°N 82.9848°W
15	Charlotte	North Carolina	885,708	731,424	+21.09%	305.4 sq mi	791.0 km2	2,757/sq mi	1,064/km2	35.2078°N 80.8310°W
16	San Francisco[g]	California	881,549	805,235	+9.48%	46.9 sq mi	121.5 km2	18,569/sq mi	7,170/km2	37.7272°N 123.0322°W
17	Indianapolis[h]	Indiana	876,384	820,445	+6.82%	361.5 sq mi	936.3 km2	2,366/sq mi	914/km2	39.7767°N 86.1459°W
18	Seattle	Washington	753,675	608,660	+23.83%	83.8 sq mi	217.0 km2	8,405/sq mi	3,245/km2	47.6205°N 122.3509°W
19	Denver[i]	Colorado	727,211	600,158	+21.17%	153.3 sq mi	397.0 km2	4,521/sq mi	1,746/km2	39.7619°N 104.8811°W
20	Washington[j]	District of Columbia	705,749	601,723	+17.29%	61.1 sq mi	158.2 km2	11,148/sq mi	4,304/km2	38.9041°N 77.0172°W
21	Boston	Massachusetts	692,600	617,594	+12.14%	48.3 sq mi	125.1 km2	13,938/sq mi	5,381/km2	42.3320°N 71.0202°W
22	El Paso	Texas	681,728	649,121	+5.02%	256.8 sq mi	665.1 km2	2,660/sq mi	1,030/km2	31.8484°N 106.4270°W
23	Nashville[k]	Tennessee	670,820	601,222	+11.58%	475.9 sq mi	1,232.6 km2	1,388/sq mi	536/km2	36.1718°N 86.7850°W
24	Detroit	Michigan	670,031	713,777	−6.13%	138.8 sq mi	359.5 km2	4,847/sq mi	1,871/km2	42.3830°N 83.1022°W
25	Oklahoma City	Oklahoma	655,057	579,999	+12.94%	606.3 sq mi	1,570.3 km2	1,053/sq mi	407/km2	35.4671°N 97.5137°W
26	Portland	Oregon	654,741	583,776	+12.16%	133.5 sq mi	345.8 km2	4,793/sq mi	1,851/km2	45.5370°N 122.6500°W
27	Las Vegas	Nevada	651,319	583,756	+11.57%	134.4 sq mi	348.1 km2	4,709/sq mi	1,818/km2	36.2292°N 115.2601°W
28	Memphis	Tennessee	651,073	646,889	+0.65%	317.4 sq mi	822.1 km2	2,056/sq mi	794/km2	35.1028°N 89.9774°W
29	Louisville[l]	Kentucky	617,638	597,337	+3.40%	263.5 sq mi	682.5 km2	2,339/sq mi	903/km2	38.1654°N 85.6474°W
30	Baltimore[m]	Maryland	593,490	620,961	−4.42%	80.9 sq mi	209.5 km2	7,598/sq mi	2,934/km2	39.3000°N 76.6105°W
31	Milwaukee	Wisconsin	590,157	594,833	−0.79%	96.2 sq mi	249.2 km2	6,186/sq mi	2,388/km2	43.0633°N 87.9667°W
32	Albuquerque	New Mexico	560,513	545,852	+2.69%	188.2 sq mi	487.4 km2	2,972/sq mi	1,147/km2	35.1056°N 106.6474°W
33	Tucson	Arizona	548,073	520,116	+5.38%	230.8 sq mi	597.8 km2	2,299/sq mi	888/km2	32.1531°N 110.8706°W
34	Fresno	California	531,576	494,665	+7.46%	114.4 sq mi	296.3 km2	4,563/sq mi	1,762/km2	36.7836°N 119.7934°W
35	Mesa	Arizona	518,012	439,041	+17.99%	137.9 sq mi	357.2 km2	3,514/sq mi	1,357/km2	33.4019°N 111.7174°W
36	Sacramento	California	513,624	466,488	+10.10%	97.9 sq mi	253.6 km2	5,059/sq mi	1,953/km2	38.5666°N 121.4686°W
